,county,state,lat,lon
44,Suffolk,Massachusetts,42.33390356774295,-71.07309943773133
411,Hillsborough,Florida,27.92935634513101,-82.3087876698058
412,Manatee,Florida,27.471888671473295,-82.31528027327596
416,New York City,New York,40.66,-73.94
441,Fulton,Georgia,33.790280958041656,-84.46700029157839
443,Norfolk,Massachusetts,42.15580442488898,-71.22298781714066
446,Grafton,New Hampshire,43.940655688300296,-71.82076594184655
481,Wake,North Carolina,35.790260136895405,-78.65031446159473
514,Bergen,New Jersey,40.95963206226482,-74.07423270294231
516,Westchester,New York,41.16241856912791,-73.75605731859136
548,Santa Rosa,Florida,30.70044735227693,-87.02198240301865
551,Montgomery,Maryland,39.13634177756632,-77.20418495788212
552,Middlesex,Massachusetts,42.485587466532,-71.39179000960075
560,Nassau,New York,40.73280387763638,-73.5864086590998
599,Broward,Florida,26.15232170181964,-80.4871127783897
601,Lee,Florida,26.579121081591435,-81.81996540170121
605,Polk,Georgia,34.00179797152895,-85.18814686678084
620,Camden,New Jersey,39.803525700569466,-74.95975372723746
623,Rockland,New York,41.15238484003475,-74.02405398528614
625,Chatham,North Carolina,35.70258165673865,-79.2552973934949
629,Delaware,Pennsylvania,39.91670671779325,-75.39908736741675
630,Wayne,Pennsylvania,41.64874114264733,-75.30327031172394
631,Charleston,South Carolina,32.83475491564341,-79.95305377596934
632,Kershaw,South Carolina,34.33877402713653,-80.59023404891661
678,Charlotte,Florida,26.905502725767025,-81.91226002932852
682,Okaloosa,Florida,30.69129732843312,-86.59175967998019
684,Volusia,Florida,29.05842439034989,-81.18192653142658
685,Cobb,Georgia,33.94146806274376,-84.5766832110363
687,Gwinnett,Georgia,33.961735293915254,-84.02360174215254
695,Berkshire,Massachusetts,42.37071144400915,-73.20634904978223
705,Rockingham,New Hampshire,42.98758595012211,-71.1254408129143
711,Saratoga,New York,43.10738859125158,-73.86389930042077
720,Montgomery,Pennsylvania,40.21083604796135,-75.3672810347782
732,Fairfax,Virginia,38.83711937824308,-77.27734192458651
770,Fairfield,Connecticut,41.27110205243782,-73.38917932983797
780,Cherokee,Georgia,34.243952828973775,-84.47621098002885
794,Harford,Maryland,39.56131259013112,-76.31710824109932
800,Worcester,Massachusetts,42.35143109729856,-71.90774609105091
811,Passaic,New Jersey,41.03446085072499,-74.30084177950283
816,Suffolk,New York,40.86546056216492,-72.85272469298751
817,Ulster,New York,41.88814952893891,-74.25855890593618
832,Spartanburg,South Carolina,34.93126700919744,-81.99068275406107
898,DeKalb,Georgia,33.77155067232527,-84.22642832762257
899,Fayette,Georgia,33.41395730662755,-84.49418480279441
900,Floyd,Georgia,34.26319805490673,-85.21426098697934
918,Prince George's,Maryland,38.82953372879893,-76.8472824721449
934,Hudson,New Jersey,40.734979236961074,-74.07775467247424
935,Monmouth,New Jersey,40.26048969846016,-74.22097242437847
937,Union,New Jersey,40.660032137239504,-74.30850914600595
955,Monroe,Pennsylvania,41.05806322744271,-75.33946481822404
973,Virginia Beach city,Virginia,36.73354378431692,-76.04348590862497
1022,Alachua,Florida,29.674757216444668,-82.35772834033932
1025,Collier,Florida,26.110719046235257,-81.34757402694645
1029,Nassau,Florida,30.61060481053839,-81.80161906554672
1031,Pasco,Florida,28.30930795113269,-82.3923796272205
1032,Pinellas,Florida,27.91929510255517,-82.72536698531836
1035,Charlton,Georgia,30.781729806865464,-82.1379397809248
1065,Essex,Massachusetts,42.67320009687074,-70.95218620389406
1082,Burlington,New Jersey,39.87769214336262,-74.66804171016712
1108,Philadelphia,Pennsylvania,40.00762660889816,-75.13398581413875
1134,Loudoun,Virginia,39.09066728598416,-77.6357395483394
1188,New Castle,Delaware,39.57675791323904,-75.65296409157526
1197,Miami-Dade,Florida,25.615880554200643,-80.56371485428095
1203,St. Johns,Florida,29.901649160514303,-81.44067155002612
1205,Bartow,Georgia,34.23785753318765,-84.84049254315426
1214,Lee,Georgia,31.779617474091115,-84.14100186978727
1215,Lowndes,Georgia,30.833819292046616,-83.26773400259151
1239,Baltimore,Maryland,39.46342507754503,-76.6401967393095
1266,Middlesex,New Jersey,40.43916349555536,-74.411699009158
1273,Monroe,New York,43.146454292624135,-77.69609238061427
1297,Bucks,Pennsylvania,40.336876121917946,-75.1067869198385
1305,Lancaster,South Carolina,34.68670090817808,-80.70542989743352
1330,Arlington,Virginia,38.87861513996035,-77.1011016943769
1395,Litchfield,Connecticut,41.79248804097912,-73.24533261019486
1401,Clay,Florida,29.98307538783171,-81.85788646934681
1403,Duval,Florida,30.331579108301305,-81.67084623149174
1410,Palm Beach,Florida,26.647608850506955,-80.46548359780994
1414,Sarasota,Florida,27.184471654806813,-82.33150488157038
1415,Seminole,Florida,28.71697969882426,-81.23630140979003
1455,Androscoggin,Maine,44.16579916910862,-70.2064726362804
1493,Essex,New Jersey,40.78722647878136,-74.24700920786735
1497,Morris,New Jersey,40.86199332993444,-74.5445083211191
1503,Albany,New York,42.60018537017708,-73.97355697953981
1504,Delaware,New York,42.19807775910528,-74.96647096656675
1505,Dutchess,New York,41.76515511713615,-73.74286139034281
1506,Herkimer,New York,43.41971841877099,-74.96252575786086
1510,Orange,New York,41.40214153801445,-74.30554519230233
1516,Cabarrus,North Carolina,35.386794392027234,-80.55186462589947
1518,Forsyth,North Carolina,36.13062805196508,-80.25629747044275
1519,Johnston,North Carolina,35.51783082685436,-78.36571146409815
1520,Mecklenburg,North Carolina,35.24642570985743,-80.83262693740001
